trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,0,50.84740399988368,,,,,,,,,,,,50.82519759982824,5,0.01543379994109273,50.84740399988368,50.84740399988368,52.43715990008786,[-0.47265625],[-0.23958333333333334],[1],[0],[0],[1.611516300123185],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
24,0,24,0,52.46219909982756,,,,,,,,,,,,52.44013000000268,5,0.015349499881267548,52.46219909982756,52.46219909982756,54.06917869998142,[0.41015625],[-0.11848958333333333],[1],[0],[0],[1.6286067999899387],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
25,0,25,0,54.11177509976551,,,,,,,,,,,,54.0720504000783,10,0.02935949992388487,54.11177509976551,54.11177509976551,55.451068399939686,[0.3138020833333333],[-0.234375],[1],[0],[0],[1.3786194999702275],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
26,0,26,0,55.493316600099206,,,,,,,,,,,,55.45394260017201,10,0.029389699921011925,55.493316600099206,55.493316600099206,57.33220609975979,[-0.35546875],[-0.4479166666666667],[1],[0],[0],[1.8778504999354482],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
27,0,27,0,57.357688600197434,,,,,,,,,,,,57.335027900058776,5,0.015292699914425611,57.357688600197434,57.357688600197434,59.2140782000497,[0.43359375],[0.3255208333333333],[1],[0],[0],[1.8785656997933984],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
28,0,28,0,59.23970489995554,,,,,,,,,,,,59.21692880010232,5,0.01514390017837286,59.23970489995554,59.23970489995554,60.77913609985262,[0.22265625],[-0.4088541666666667],[1],[0],[0],[1.5617860001511872],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
29,0,29,0,60.80423570005223,,,,,,,,,,,,60.782095400150865,5,0.015188100282102823,60.80423570005223,60.80423570005223,62.311048300005496,[0.4348958333333333],[-0.21614583333333334],[1],[0],[0],[1.5284486999735236],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
30,0,30,0,62.33680139994249,,,,,,,,,,,,62.313942399807274,5,0.015749000012874603,62.33680139994249,62.33680139994249,63.44272710010409,[0.15104166666666666],[-0.234375],[1],[0],[0],[1.1282683000899851],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
31,0,31,0,63.48653170000762,,,,,,,,,,,,63.445656899828464,10,0.030035899952054024,63.48653170000762,63.48653170000762,65.52435299986973,[0.0],[-0.3984375],[1],[0],[0],[2.078266500029713],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
32,0,32,0,65.54980089981109,,,,,,,,,,,,65.52716459985822,5,0.015159900300204754,65.54980089981109,65.54980089981109,66.75696319993585,[0.19140625],[-0.3372395833333333],[1],[0],[0],[1.2293363995850086],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
33,0,33,0,66.78241850016639,,,,,,,,,,,,66.75978359999135,5,0.015304999891668558,66.78241850016639,66.78241850016639,67.98855780018494,[0.17838541666666666],[-0.3333333333333333],[1],[0],[0],[1.2283870996907353],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
34,0,34,0,68.01511610019952,,,,,,,,,,,,67.99162960005924,5,0.015766900032758713,68.01511610019952,68.01511610019952,69.48752439999953,[0.11848958333333333],[0.13541666666666666],[1],[0],[0],[1.4954515998251736],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
35,0,35,0,69.53077889978886,,,,,,,,,,,,69.4903287999332,10,0.029330499935895205,69.53077889978886,69.53077889978886,70.80219169985503,[0.4192708333333333],[0.2421875],[1],[0],[0],[1.3114435002207756],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
36,0,36,0,70.8463524999097,,,,,,,,,,,,70.80506059993058,10,0.030377600342035294,70.8463524999097,70.8463524999097,72.40108329989016,[0.4205729166666667],[-0.37890625],[1],[0],[0],[1.595626600086689],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
37,0,37,0,72.42742859991267,,,,,,,,,,,,72.40407379996032,5,0.015590900089591742,72.42742859991267,72.42742859991267,74.13273369986564,[-0.1953125],[-0.06770833333333333],[1],[0],[0],[1.7282207999378443],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
38,0,38,0,74.17574420012534,,,,,,,,,,,,74.13552480004728,10,0.029257100075483322,74.17574420012534,74.17574420012534,75.36489460011944,[-0.3971354166666667],[-0.041666666666666664],[1],[0],[0],[1.2288156999275088],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
39,0,39,0,75.40855359984562,,,,,,,,,,,,75.36769969994202,10,0.02992290025576949,75.40855359984562,75.40855359984562,76.58008430013433,[-0.3424479166666667],[0.2421875],[1],[0],[0],[1.2119378997012973],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
40,0,40,0,76.60589820006862,,,,,,,,,,,,76.5829420001246,5,0.015182999894022942,76.60589820006862,76.60589820006862,77.94570400007069,[0.4166666666666667],[0.2955729166666667],[1],[0],[0],[1.3623067000880837],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
