trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,0,97.15168960019946,,,,,,,,,,,,97.11058280011639,10,0.029702499974519014,97.15168960019946,97.15168960019946,99.72146489983425,[0.3216145833333333],[0.17447916666666666],[1],[0],[0],[2.6104962998069823],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
51,0,51,0,99.74781569978222,,,,,,,,,,,,99.72444450017065,5,0.015657400246709585,99.74781569978222,99.74781569978222,101.52027390012518,[0.06901041666666667],[-0.16276041666666666],[1],[0],[0],[1.7953698998317122],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
52,0,52,0,101.56530780019239,,,,,,,,,,,,101.52336440002546,10,0.03051029983907938,101.56530780019239,101.56530780019239,103.55173859978095,[-0.4973958333333333],[-0.4283854166666667],[1],[0],[0],[2.027887400239706],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
53,0,53,0,103.59649229981005,,,,,,,,,,,,103.55488480022177,10,0.029782800003886223,103.59649229981005,103.59649229981005,107.44736139988527,[-0.4817708333333333],[0.4765625],[1],[0],[0],[3.8919437997974455],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
54,0,54,0,107.47399730002508,,,,,,,,,,,,107.45030470006168,5,0.015544199850410223,107.47399730002508,107.47399730002508,109.24571740021929,[0.016927083333333332],[0.4270833333333333],[1],[0],[0],[1.7949814000166953],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
55,0,55,0,109.2913127001375,,,,,,,,,,,,109.24878290016204,10,0.03176120016723871,109.2913127001375,109.2913127001375,111.82653219997883,[0.4791666666666667],[-0.2708333333333333],[1],[0],[0],[2.5773737002164125],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
56,0,56,0,111.870042799972,,,,,,,,,,,,111.82940129982308,10,0.02964079985395074,111.870042799972,111.870042799972,113.70771689992398,[-0.3580729166666667],[-0.15625],[1],[0],[0],[1.877859900239855],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
57,0,57,0,113.75114609999582,,,,,,,,,,,,113.71073159994557,10,0.02930700033903122,113.75114609999582,113.75114609999582,116.48867669980973,[-0.3723958333333333],[0.2604166666666667],[1],[0],[0],[2.7775102998130023],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
58,0,58,0,116.5144854998216,,,,,,,,,,,,116.49163729976863,5,0.01574180042371154,116.5144854998216,116.5144854998216,118.15524420002475,[-0.203125],[0.03515625],[1],[0],[0],[1.6630725003778934],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
59,0,59,0,118.22495470009744,,,,,,,,,,,,118.16036689979956,10,0.04589360021054745,118.22495470009744,118.22495470009744,119.60236900020391,[-0.21614583333333334],[-0.140625],[1],[0],[0],[1.4415468997322023],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
